,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
382,0.704,0.677,5,-6.135,1,0.0288,0.426,3.29e-06,0.118,0.715,92.021,audio_features,1GiwvmI57OTGcKGNigZFJb,spotify:track:1GiwvmI57OTGcKGNigZFJb,https://api.spotify.com/v1/tracks/1GiwvmI57OTGcKGNigZFJb,https://api.spotify.com/v1/audio-analysis/1GiwvmI57OTGcKGNigZFJb,171495,4
383,0.574,0.563,7,-8.183,1,0.0338,0.0235,0.0214,0.23,0.0934,111.97,audio_features,4kD3OqYqX2kJCUTEscRBxO,spotify:track:4kD3OqYqX2kJCUTEscRBxO,https://api.spotify.com/v1/tracks/4kD3OqYqX2kJCUTEscRBxO,https://api.spotify.com/v1/audio-analysis/4kD3OqYqX2kJCUTEscRBxO,287429,4
384,0.475,0.789,1,-6.124,1,0.038,0.17,0.0,0.147,0.485,155.227,audio_features,6BOP0cv1eeXcvi1oE8bDVZ,spotify:track:6BOP0cv1eeXcvi1oE8bDVZ,https://api.spotify.com/v1/tracks/6BOP0cv1eeXcvi1oE8bDVZ,https://api.spotify.com/v1/audio-analysis/6BOP0cv1eeXcvi1oE8bDVZ,226091,4
385,0.6,0.567,9,-7.269,0,0.033,0.00621,8.73e-06,0.495,0.0951,119.043,audio_features,4VMRsbfZzd3SfQtaJ1Wpwi,spotify:track:4VMRsbfZzd3SfQtaJ1Wpwi,https://api.spotify.com/v1/tracks/4VMRsbfZzd3SfQtaJ1Wpwi,https://api.spotify.com/v1/audio-analysis/4VMRsbfZzd3SfQtaJ1Wpwi,268235,4
386,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,6usohdchdzW9oML7VC4Uhk,spotify:track:6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/tracks/6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/audio-analysis/6usohdchdzW9oML7VC4Uhk,210689,3
387,0.737,0.725,5,-7.989,1,0.0414,0.417,0.00129,0.0895,0.746,144.069,audio_features,3B228N0GxfUCwPyfNcJxps,spotify:track:3B228N0GxfUCwPyfNcJxps,https://api.spotify.com/v1/tracks/3B228N0GxfUCwPyfNcJxps,https://api.spotify.com/v1/audio-analysis/3B228N0GxfUCwPyfNcJxps,145200,4
388,0.444,0.629,9,-4.435,1,0.0318,0.00544,0.0,0.271,0.376,134.931,audio_features,7hZTywPKMdVjJzwdWu11BK,spotify:track:7hZTywPKMdVjJzwdWu11BK,https://api.spotify.com/v1/tracks/7hZTywPKMdVjJzwdWu11BK,https://api.spotify.com/v1/audio-analysis/7hZTywPKMdVjJzwdWu11BK,200347,3
389,0.389,0.962,2,-4.772,0,0.248,5.98e-05,0.623,0.331,0.155,183.049,audio_features,3ySqZ8yGoh4Emi9HiPCCdP,spotify:track:3ySqZ8yGoh4Emi9HiPCCdP,https://api.spotify.com/v1/tracks/3ySqZ8yGoh4Emi9HiPCCdP,https://api.spotify.com/v1/audio-analysis/3ySqZ8yGoh4Emi9HiPCCdP,239864,4
390,0.481,0.797,6,-4.094,0,0.201,0.404,0.0,0.368,0.495,96.237,audio_features,410ZZP746AQeiywhKvXWCo,spotify:track:410ZZP746AQeiywhKvXWCo,https://api.spotify.com/v1/tracks/410ZZP746AQeiywhKvXWCo,https://api.spotify.com/v1/audio-analysis/410ZZP746AQeiywhKvXWCo,206050,3
391,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,audio_features,4FAKtPVycI4DxoOHC01YqD,spotify:track:4FAKtPVycI4DxoOHC01YqD,https://api.spotify.com/v1/tracks/4FAKtPVycI4DxoOHC01YqD,https://api.spotify.com/v1/audio-analysis/4FAKtPVycI4DxoOHC01YqD,216148,4
392,0.702,0.829,7,-7.609,1,0.059,0.00862,0.00277,0.339,0.575,113.942,audio_features,5oJw81e2Tzr2rC0lHXnDPb,spotify:track:5oJw81e2Tzr2rC0lHXnDPb,https://api.spotify.com/v1/tracks/5oJw81e2Tzr2rC0lHXnDPb,https://api.spotify.com/v1/audio-analysis/5oJw81e2Tzr2rC0lHXnDPb,162104,4
393,0.64,0.891,10,-4.639,0,0.135,0.00467,0.0,0.132,0.449,148.054,audio_features,3a36nM6fPVA8K1vqq6d03o,spotify:track:3a36nM6fPVA8K1vqq6d03o,https://api.spotify.com/v1/tracks/3a36nM6fPVA8K1vqq6d03o,https://api.spotify.com/v1/audio-analysis/3a36nM6fPVA8K1vqq6d03o,234324,3
394,0.538,0.452,2,-7.994,1,0.0462,0.368,2.26e-05,0.0635,0.209,168.102,audio_features,4Z59a9hIn8EMsni3OiqGso,spotify:track:4Z59a9hIn8EMsni3OiqGso,https://api.spotify.com/v1/tracks/4Z59a9hIn8EMsni3OiqGso,https://api.spotify.com/v1/audio-analysis/4Z59a9hIn8EMsni3OiqGso,222840,4
395,0.485,0.545,11,-7.924,1,0.0336,0.0651,0.00547,0.0642,0.0385,150.185,audio_features,4Ls53fBNVfaXTROBi6X8Hw,spotify:track:4Ls53fBNVfaXTROBi6X8Hw,https://api.spotify.com/v1/tracks/4Ls53fBNVfaXTROBi6X8Hw,https://api.spotify.com/v1/audio-analysis/4Ls53fBNVfaXTROBi6X8Hw,123891,4
396,0.852,0.881,5,-2.546,0,0.126,0.0602,6.44e-06,0.0682,0.556,96.984,audio_features,0J9g1MMJDhyvOb3NWckHMm,spotify:track:0J9g1MMJDhyvOb3NWckHMm,https://api.spotify.com/v1/tracks/0J9g1MMJDhyvOb3NWckHMm,https://api.spotify.com/v1/audio-analysis/0J9g1MMJDhyvOb3NWckHMm,219333,4
397,0.823,0.615,7,-4.19,1,0.147,0.104,0.0,0.104,0.47,90.952,audio_features,3Gs7mVfWKl567mjozgxmXv,spotify:track:3Gs7mVfWKl567mjozgxmXv,https://api.spotify.com/v1/tracks/3Gs7mVfWKl567mjozgxmXv,https://api.spotify.com/v1/audio-analysis/3Gs7mVfWKl567mjozgxmXv,187653,4
398,0.615,0.616,8,-6.523,1,0.0622,0.0623,0.0,0.579,0.0734,89.977,audio_features,4i6cwNY6oIUU2XZxPIw82Y,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,https://api.spotify.com/v1/tracks/4i6cwNY6oIUU2XZxPIw82Y,https://api.spotify.com/v1/audio-analysis/4i6cwNY6oIUU2XZxPIw82Y,201493,4
399,0.688,0.821,9,-6.042,0,0.07,0.0929,8.46e-05,0.137,0.744,138.049,audio_features,3CEk3KwDixeCKOVPacup7L,spotify:track:3CEk3KwDixeCKOVPacup7L,https://api.spotify.com/v1/tracks/3CEk3KwDixeCKOVPacup7L,https://api.spotify.com/v1/audio-analysis/3CEk3KwDixeCKOVPacup7L,177652,3
400,0.691,0.813,1,-4.49,1,0.0393,0.201,0.132,0.128,0.537,154.122,audio_features,44KWbTVZev3SWdv1t5UoYE,spotify:track:44KWbTVZev3SWdv1t5UoYE,https://api.spotify.com/v1/tracks/44KWbTVZev3SWdv1t5UoYE,https://api.spotify.com/v1/audio-analysis/44KWbTVZev3SWdv1t5UoYE,125055,4
401,0.599,0.651,0,-6.834,0,0.0436,0.188,0.00144,0.161,0.253,143.985,audio_features,2qlBAT108lYOzlXhBxBqEv,spotify:track:2qlBAT108lYOzlXhBxBqEv,https://api.spotify.com/v1/tracks/2qlBAT108lYOzlXhBxBqEv,https://api.spotify.com/v1/audio-analysis/2qlBAT108lYOzlXhBxBqEv,195320,4
402,0.836,0.826,11,-2.66,0,0.0461,0.213,6.03e-06,0.0814,0.579,102.025,audio_features,1aUq8rjW1EwkAkMri4VfJy,spotify:track:1aUq8rjW1EwkAkMri4VfJy,https://api.spotify.com/v1/tracks/1aUq8rjW1EwkAkMri4VfJy,https://api.spotify.com/v1/audio-analysis/1aUq8rjW1EwkAkMri4VfJy,197101,4
403,0.613,0.797,7,-5.564,0,0.299,0.0185,0.0,0.279,0.336,145.011,audio_features,11pn4LFXCIXyprWQk8RSlM,spotify:track:11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/tracks/11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/audio-analysis/11pn4LFXCIXyprWQk8RSlM,165589,4
404,0.424,0.782,11,-5.093,0,0.042,0.000229,0.0,0.362,0.246,135.47,audio_features,373nrXuYab2ryFwNjHDLxZ,spotify:track:373nrXuYab2ryFwNjHDLxZ,https://api.spotify.com/v1/tracks/373nrXuYab2ryFwNjHDLxZ,https://api.spotify.com/v1/audio-analysis/373nrXuYab2ryFwNjHDLxZ,205288,4
405,0.702,0.68,7,-5.451,0,0.0373,0.24,0.0,0.111,0.86,122.895,audio_features,4yjeRuoVickg1G87LWeRes,spotify:track:4yjeRuoVickg1G87LWeRes,https://api.spotify.com/v1/tracks/4yjeRuoVickg1G87LWeRes,https://api.spotify.com/v1/audio-analysis/4yjeRuoVickg1G87LWeRes,204253,3
406,0.789,0.649,0,-5.765,1,0.0714,0.0409,3.64e-05,0.0773,0.589,89.999,audio_features,2iVgM5C7m1G4CJGbms301G,spotify:track:2iVgM5C7m1G4CJGbms301G,https://api.spotify.com/v1/tracks/2iVgM5C7m1G4CJGbms301G,https://api.spotify.com/v1/audio-analysis/2iVgM5C7m1G4CJGbms301G,174809,4
407,0.743,0.714,8,-6.024,0,0.105,0.0126,0.0,0.0901,0.749,138.595,audio_features,52WWw9qNZXZZtWU336TtKG,spotify:track:52WWw9qNZXZZtWU336TtKG,https://api.spotify.com/v1/tracks/52WWw9qNZXZZtWU336TtKG,https://api.spotify.com/v1/audio-analysis/52WWw9qNZXZZtWU336TtKG,124906,4
408,0.475,0.606,5,-4.906,1,0.03,0.0995,0.0171,0.0931,0.303,123.009,audio_features,7u2iWRkkz8GBYFe4apxVBl,spotify:track:7u2iWRkkz8GBYFe4apxVBl,https://api.spotify.com/v1/tracks/7u2iWRkkz8GBYFe4apxVBl,https://api.spotify.com/v1/audio-analysis/7u2iWRkkz8GBYFe4apxVBl,206138,3
409,0.593,0.918,9,-2.985,1,0.0671,0.00413,0.0,0.387,0.872,123.941,audio_features,3lg4wfPFpFLapRp2SiQQGd,spotify:track:3lg4wfPFpFLapRp2SiQQGd,https://api.spotify.com/v1/tracks/3lg4wfPFpFLapRp2SiQQGd,https://api.spotify.com/v1/audio-analysis/3lg4wfPFpFLapRp2SiQQGd,182893,4
410,0.706,0.64,4,-3.146,0,0.203,0.086,0.0,0.537,0.184,143.905,audio_features,05grSYrVwYw58YMOdJceyz,spotify:track:05grSYrVwYw58YMOdJceyz,https://api.spotify.com/v1/tracks/05grSYrVwYw58YMOdJceyz,https://api.spotify.com/v1/audio-analysis/05grSYrVwYw58YMOdJceyz,164838,4
411,0.477,0.565,1,-8.3,1,0.0334,0.000195,0.0011,0.193,0.0399,151.928,audio_features,0NaUT74rJ0NHS62fewzatU,spotify:track:0NaUT74rJ0NHS62fewzatU,https://api.spotify.com/v1/tracks/0NaUT74rJ0NHS62fewzatU,https://api.spotify.com/v1/audio-analysis/0NaUT74rJ0NHS62fewzatU,126600,4
412,0.782,0.793,9,-5.177,0,0.0387,0.4,6.98e-06,0.0824,0.869,132.997,audio_features,0lc2neV7ZzjZExwCIVG2B3,spotify:track:0lc2neV7ZzjZExwCIVG2B3,https://api.spotify.com/v1/tracks/0lc2neV7ZzjZExwCIVG2B3,https://api.spotify.com/v1/audio-analysis/0lc2neV7ZzjZExwCIVG2B3,155551,3
