,artist_name,track_name,track_id,popularity
134,Taylor Swift,Mean (Taylor's Version),30Y4CV7A6YqtQtTTo7Ue4j,85
135,NewJeans,New Jeans,6rdkCkjk6D12xRpdMXy0I2,88
136,Taylor Swift,Timeless (Taylor’s Version) (From The Vault),1HCdems7PQZRj42QDWLA0A,84
137,Taylor Swift,Hits Different,3xYJScVfxByb61dYHTwiby,85
138,Lil Uzi Vert,Endless Fashion (feat. Nicki Minaj),41bmnQZoDMQdDh5zyomtW7,82
139,Toosii,Favorite Song,1SRw5p2lVAi7RGlHEmZg66,81
140,Lyrical Lemonade,Doomsday (with Juice WRLD & Cordae),3bkpVSoNvBkvt9LJMFT5at,82
141,Taylor Swift,The Story Of Us (Taylor's Version),6dTA6y0C2ReQklntzZl8l3,85
142,NewJeans,OMG,65FftemJ1DbbZ45DUfHJXE,90
143,Morgan Wallen,’98 Braves,3oZ6dlSfCE9gZ55MGPJctc,79
144,Young Nudy,Peaches & Eggplants (feat. 21 Savage),1KUZ33cOqk3X4Ezk0aZnVp,80
145,Eslabon Armado,Así Lo Quiso Dios,6X5WZbJzXtk6aO03HlxuZ9,85
146,Travis Scott,K-POP (feat. Bad Bunny & The Weeknd),4o82J5zr4DFEs9yj5szCVX,84
147,KAROL G,S91,7EpOXgSRgnglRWr86pZfGU,89
148,Noah Kahan,You’re Gonna Go Far,4nHJcUtNSUVjXRnjdP29Bk,80
149,Post Malone,Overdrive,3t0ic4mkhvhamrKDkulB8v,84
150,Bryan Martin,We Ride,72kGuWpRiuA149Bn5lDkIO,80
151,Chris Stapleton,White Horse,7MSWxMumjz6lHj7oRApNbg,80
152,Odetari,NARCISSISTIC PERSONALITY DISORDER,6lDJ0CkQ6LdQv5EUQ39rpg,84
153,Lil Uzi Vert,Aye (feat. Travis Scott),2Hc1LaV6bzFil3dE71eORA,82
154,Jimin,Like Crazy (English Version),0u8rZGtXJrLtiSe34FPjGG,85
155,Eladio Carrion,Coco Chanel,0PB0O24JqAuNdOAFVJljMS,90
156,The Weeknd,Die For You - Remix,7oDd86yk8itslrA9HRP2ki,89
157,Dominic Fike,Mona Lisa (Spider-Man: Across the Spider-Verse),37CoOXIsgF3NzbK1zHZetk,84
158,Odetari,GMFU (w/ 6arelyhuman),4D1k6x4MXTaSnljSvAXhaf,84
159,Taylor Swift,Haunted (Taylor's Version),4tMzIAFTFdqGBQLdfbPces,83
160,Ivan Cornejo,Aquí Te Espero,33vrRiIiut4rOFmkgorJD6,80
161,NewJeans,ASAP,5fpyAakgFOm4YTXkgfPzvV,86
162,Ryan Gosling,I’m Just Ken,3zXIvb4nZ3cTdT8CsbTy3U,85
163,Post Malone,Something Real,444vevlQjTnKioLLncteGv,82
164,Chino Pacas,Dijeron Que No La Iba Lograr,7dR09k1an5JEq7ch0Y5hvV,84
165,Tory Lanez,Hurts Me,0RBw4ODUQPO4cuAOZtBGga,83
166,RAYE,Escapism.,5mHdCZtVyb4DcJw8799hZp,88
167,Peggy Gou,(It Goes Like) Nanana - Edit,23RoR84KodL5HWvUTneQ1w,93
168,David Guetta,Baby Don't Hurt Me,3BKD1PwArikchz2Zrlp1qi,93
169,Don Toliver,Private Landing (feat. Justin Bieber & Future),52NGJPcLUzQq5w7uv4e5gf,81
170,Quavo,Turn Yo Clic Up (feat. Future),7LTCmtMpf3JPfBE8gAl64z,81
171,Latto,Put It On Da Floor Again (feat. Cardi B),6c6WmIHcHlhccEwSFBhzNa,79
172,Jordan Davis,Next Thing You Know,39OclE5hZematADrdfaWvE,79
173,Taylor Swift,Last Kiss (Taylor's Version),59KOoHFcw5XfICnO57holu,83
174,Jordan Davis,What My World Spins Around,6vjZxvzdAeHp7jv3R398Xm,78
175,Drake,On The Radar Freestyle,1L0OmJV0LnPDWuHCIGmBV6,84
176,Post Malone,Mourning,0gWrMbx6pbdH3n3nsLjE55,82
177,Offset,JEALOUSY (feat. Cardi B),73S4fsK22WH929PLFNYgOj,80
178,Nate Smith,World on Fire,5ya0TmUQw2wHMkq36rPsnd,78
179,Warren Zeiders,Pretty Little Poison,2gT2iF1YK5r54A2PDEXVv8,78
180,Junior H,El Tsurito,1piak4R3yW4otWWyaSqyCH,86
181,Morgan Wallen,Man Made A Bar (feat. Eric Church),73zawW1ttszLRgT9By826D,77
182,Sam Hunt,Outskirts,2E0bqoMlIb2xmFyZHRjtzK,78
183,Diplo,Heartbroken (feat. Jessie Murph & Polo G),6NdnvPwQvZb147DVa4x14h,80
184,Morgan Wallen,Sunrise,0JtgoDDf0ggWaoXCGhcOoT,77
185,Peso Pluma,NUEVA VIDA,4Nf5EZ40JenjMUKXOiyRU5,84
186,Gunna,back to the moon,3OGCNLxpBmTYRxPZg2yDE5,80
187,Morgan Wallen,Everything I Love,03fs6oV5JAlbytRYf3371S,77
188,Sam Barber,Straight and Narrow,40vKwNlXXKUmQMGceAoEpy,80
189,Olivia Rodrigo,bad idea right?,2i8f4VnnBjy0yDqH2C452a,82
190,Natanael Cano,Mi Bello Angel,1oWkcc7hQdVYPQMyQ6AFov,88
191,Sky Rompiendo,El Cielo,4PA1wK0leCjmRZlP5dQ8Lv,91
192,Lijay,I love freaks,2OwdUZPORY0EAdRBF9hSZD,80
193,(G)I-DLE,Queencard,4uOBL4DDWWVx4RhYKlPbPC,89
194,Lana Del Rey,Let The Light In (feat. Father John Misty),4qG7hWhljsqqENL5PaLA2z,82
195,Moneybagg Yo,Ocean Spray,6dNOefmb6Lgl5vNtJsSajt,78
196,HARDY,red (feat. Morgan Wallen),2D3JfPyY2LkzXgNOb7qziR,77
197,Beyoncé,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),6l8mgVN9Xf1hiDIFGA6CTE,81
198,Lil Durk,All My Life (feat. J. Cole),6T7FXSuXykeGktMLGp8WgE,81
199,Marshmello,El Merengue,51FvjPEGKq2zByeeEQ43V9,91
200,Ryan Castro,QUEMA,2hn2zOA2XFlv6DSmesylrL,87
201,Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),4zmKGsrXjLmljb5fTaBTot,84
202,Morgan Wallen,Dying Man,4kvjThnfQIsPOKjxx0aZDu,77
203,Billie Eilish,hotline (edit),0WFryfbNKPXVtVQlz5dZ8H,87
204,Young Nudy,Peaches & Eggplants (feat. 21 Savage),2KcQ0PbPj0O3P48B9YX7iN,77
205,Stray Kids,S-Class,3gTQwwDNJ42CCLo3Sf4JDd,87
206,Nicky Youre,Sunroof,5YqEzk3C5c3UZ1D5fJUlXA,84
207,Lizzo,Pink,2YXGbxICUdOUJe9OPlicy1,83
208,Peso Pluma,BYE,6f8wbdo8KU5ETWJA7lapgS,82
209,ENHYPEN,Bite Me,7mpdNiaQvygj2rHoxkzMfa,87
